"Total_Cases","Total_Deaths","Total_Recovered","Active_Cases","Total_Cases_Per_Million","Deaths_Per_Million","Total_Tests","Tests_Per_Million","Population","Country"
469998,7288,460280,2430,106768,1656,3966816,901126,4402067,"Panama"
141772,215,114782,26775,23990,36,20436387,3458200,5909544,"Singapore"
128368,1158,124514,2696,4023,36,1781277,55829,31905934,"Ghana"
9933,236,55,9642,34367,817,42756,147930,289029,"NewCaledonia"
170159,1415,152755,15989,128162,1066,2012141,1515527,1327684,"Estonia"
149897,1116,46000,102781,27000,201,7265979,1308760,5551803,"Finland"
54024,370,53520,134,59792,410,1279618,1416237,903534,"Réunion"
151080,1925,148099,1056,4666,59,924272,28546,32378746,"Mozambique"
251803,5210,245077,1516,4554,94,2630712,47578,55292144,"Kenya"
34240,862,29613,3765,43263,1089,336594,425295,791437,"Guyana"
10251,68,7682,2501,23147,154,431203,973660,442868,"Brunei"
62606,1660,50584,10362,1832,49,1043451,30531,34177113,"Angola"
1161933,14916,1129024,17993,114135,1465,12879376,1265126,10180309,"Sweden"
43376,295,9995,33086,140550,956,414645,1343563,308616,"FrenchGuiana"
33442,213,27879,5350,14583,93,1275341,556152,2293152,"Gabon"
30572,385,29233,954,2250,28,564211,41517,13589822,"Guinea"
180566,1285,176403,2878,5296,38,1377915,40417,34092764,"Uzbekistan"
85977,237,84510,1230,155537,429,1547511,2799521,552777,"Maldives"
54152,731,2250,51171,135308,1827,485295,1212595,400212,"Guadeloupe"
38006,347,37221,438,67416,616,211025,374321,563754,"CaboVerde"
9495,1798,5990,1707,310,59,265253,8649,30669437,"Yemen"
120415,560,90755,29100,98809,460,9420908,7730490,1218669,"Cyprus"
53689,1584,47790,4315,38204,1127,373044,265451,1405322,"TrinidadandTobago"
36591,787,35387,417,7613,164,482633,100413,4806482,"Mauritania"
86986,2072,55086,29828,29211,696,622086,208908,2977804,"Jamaica"
195808,884,88952,105972,35759,161,8004891,1461871,5475786,"Norway"
46132,1007,27060,18065,77743,1697,139241,234652,593394,"Suriname"
21580,590,19683,1307,54210,1482,149289,375024,398078,"Bahamas"
367307,2679,356575,8053,63128,460,84631772,14545388,5818461,"Denmark"
390762,6066,383163,1533,111991,1738,3695773,1059195,3489228,"Uruguay"
205106,5867,140619,58620,4571,131,230861,5145,44868425,"Algeria"
132285,4655,126034,1596,8737,307,1460055,96430,15141063,"Zimbabwe"
12129,232,11262,635,65666,1256,82868,448646,184707,"SaintLucia"
460322,16209,443953,160,63535,2237,1866179,257574,7245204,"Paraguay"
237798,608,236275,915,84692,217,2746546,978183,2807805,"Qatar"
208797,2769,196425,9603,982,13,3142971,14777,212697057,"Nigeria"
40178,633,33500,6045,141973,2237,26355,93128,282998,"FrenchPolynesia"
46359,1233,44839,287,39434,1049,361928,307863,1175615,"Eswatini"
23990,461,20724,2805,58958,1133,286236,703452,406902,"Belize"
4439,71,4292,76,102041,1632,53105,1220748,43502,"SintMaarten"
209477,3657,205598,222,10999,192,2532514,132979,19044416,"Zambia"
3888,95,3069,724,39284,960,17674,178576,98972,"AntiguaandBarbuda"
412258,2455,409226,577,94734,564,4546992,1044863,4351759,"Kuwait"
304025,4103,299362,560,57654,778,25000000,4740866,5273298,"Oman"
24041,266,19840,3935,2623,29,197329,21531,9164749,"PapuaNewGuinea"
15702,170,15367,165,146269,1584,177885,1657056,107350,"Aruba"
3819,55,1399,2365,96652,1392,54303,1374307,39513,"SaintMartin"
2725,37,2649,39,89374,1214,82570,2708101,30490,"BritishVirginIslands"
73859,1871,71961,27,4267,108,820520,47401,17310100,"Senegal"
586318,14236,558054,14028,31967,776,2744895,149656,18341342,"Guatemala"
128239,3538,123820,881,49322,1361,727230,279701,2600027,"Namibia"
99067,1313,45506,52248,7413,98,2971288,222330,13364299,"Rwanda"
24560,161,23971,428,1960,13,604310,48227,12530658,"Benin"
4939,28,4246,665,987,6,3701367,739963,5002100,"NewZealand"
275975,1391,273966,618,155272,783,6672937,3754397,1777366,"Bahrain"
16899,171,16445,283,102445,1037,295861,1793564,164957,"Curaçao"
15338,130,15139,69,198104,1679,193595,2500452,77424,"Andorra"
177108,2807,167936,6365,61630,977,1253624,436233,2873750,"Albania"
79720,839,77447,1434,124745,1313,3554740,5562399,639066,"Luxembourg"
51701,663,48221,2817,57141,733,427690,472688,904804,"Fiji"
42898,958,41322,618,1500,33,249510,8723,28604553,"Madagascar"
9946,339,9600,7,3972,135,103647,41397,2503761,"Gambia"
12184,130,11726,328,1072,11,240071,21128,11362501,"SouthSudan"
11469,100,6859,4510,2323,20,60228,12198,4937670,"CAR"
5803,286,5458,59,1114,55,128246,24614,5210283,"Liberia"
5740,98,5478,164,170438,2910,373877,11101520,33678,"Gibraltar"
5470,91,5343,36,160774,2675,80733,2372895,34023,"SanMarino"
4418,47,2840,1531,39661,422,80024,718387,111394,"St.VincentGrenadines"
3357,33,3281,43,84773,833,54960,1387879,39600,"Monaco"
181856,2386,178124,1346,75377,989,1788867,741465,2412613,"Botswana"
96502,4636,91345,521,67,3,160000000,111163,1439323776,"China"
42167,638,104,41425,112478,1702,359082,957833,374890,"Martinique"
12840,156,12263,421,8782,107,195087,133432,1462068,"EquatorialGuinea"
12455,33,11923,499,36197,96,1096871,3187717,344093,"Iceland"
8430,54,7681,695,98468,631,125320,1463813,85612,"IsleofMan"
5548,95,4979,474,89510,1533,566212,9135104,61982,"Bermuda"
3487,60,3390,37,91118,1568,49126,1283702,38269,"Liechtenstein"
2922,23,2830,69,74181,584,94789,2406423,39390,"TurksandCaicos"
2546,21,1753,772,47427,391,49113,914871,53683,"SaintKittsandNevis"
4233014,142889,4070807,19318,15268,515,42913866,154787,277243890,"Indonesia"
857639,21043,788923,47673,8710,214,42517091,431798,98465330,"Vietnam"
804516,11277,779931,13308,26988,378,4312412,144663,29810141,"Nepal"
738372,2118,731984,4270,73513,211,88288674,8790126,10044074,"UAE"
657753,9440,609987,38326,165293,2372,9547578,2399309,3979304,"Georgia"
567938,4369,541155,22414,60129,463,9034147,956468,9445320,"Belarus"
530421,13449,491958,25014,24638,625,5367770,249329,21528823,"SriLanka"
498630,6734,476964,14932,48615,657,5000973,487579,10256751,"Azerbaijan"
485646,18297,437855,29494,8849,333,4593674,83705,54879197,"Myanmar"
349210,4860,277701,66649,49948,695,1733052,247883,6991424,"Libya"
280294,5754,253146,21394,94363,1937,1874598,631098,2970374,"Armenia"
243914,11110,192218,40586,74946,3414,1265280,388776,3254525,"BosniaandHerzegovina"
196376,6901,182782,6693,94264,3313,1336229,641411,2083264,"NorthMacedonia"
137046,2018,130152,4876,218168,3213,772781,1230214,628168,"Montenegro"
116407,2634,110465,3308,6841,155,2542331,149404,17016443,"Cambodia"
60982,674,59310,998,2241,25,1055780,38792,27216638,"IvoryCoast"
57269,1089,50930,5250,615,12,306299,3292,93052935,"DRC"
38824,2928,32395,3501,860,65,238579,5283,45163585,"Sudan"
38365,2382,24873,11110,2126,132,103566,5739,18046343,"Syria"
37437,459,36292,686,84497,1036,1211456,2734312,443057,"Malta"
31188,36,6558,24594,4208,5,552824,74592,7411280,"Laos"
25865,238,25064,563,3033,28,531730,62352,8527808,"Togo"
22827,649,19989,2189,1971,56,120507,10405,11581281,"Haiti"
21833,119,21430,284,220244,1200,21504,216925,99131,"Seychelles"
21524,655,11983,8886,9946,303,226374,104604,2164100,"Lesotho"
21269,1180,9927,10162,1292,72,239292,14536,16462036,"Somalia"
20439,181,2964,17294,72668,644,176919,629014,281264,"Mayotte"
19703,119,19481,103,14587,88,169501,125491,1350704,"Timor-Leste"
19555,38,773,18744,1584,3,345742,28007,12344949,"Burundi"
16621,129,1854,14638,13041,101,358675,281427,1274485,"Mauritius"
16336,846,15343,147,684,35,6867115,287661,23872279,"Taiwan"
15577,555,14437,585,742,26,436819,20802,20998976,"Mali"
15514,222,12421,2871,2725,39,188207,33063,5692414,"Congo"
14657,203,14091,363,677,9,220472,10189,21638626,"BurkinaFaso"
13377,179,13008,190,13291,178,230284,228804,1006470,"Djibouti"
12427,109,8986,3332,43175,379,352994,1226406,287828,"Barbados"
12286,213,11980,93,1622,28,25906063,3419834,7575240,"HongKong"
12174,98,11656,420,69200,557,973750,5535029,175925,"ChannelIslands"
6767,44,6676,47,1875,12,23693,6564,3609525,"Eritrea"
6396,121,4393,1882,781,15,160729,19636,8185333,"SierraLeone"
6143,204,5848,91,243,8,164125,6480,25329230,"Niger"
6129,141,5388,600,3023,70,100498,49562,2027710,"Guinea-Bissau"
5721,192,5364,165,50542,1696,76390,674859,113194,"Grenada"
5067,174,4874,19,298,10,148082,8695,17030432,"Chad"
4153,28,3841,284,57508,388,82691,1145051,72216,"Dominica"
3670,56,3093,521,16356,250,14689,65463,224388,"SaoTomeandPrincipe"
2617,3,2605,9,3344,4,1176243,1503117,782536,"Bhutan"
2312,19,2117,176,87124,716,25579,963899,26537,"CaribbeanNetherlands"
1588,6,462,1120,160145,605,38369,3869403,9916,"St.Barth"
1332,2,1238,92,27127,41,448000,9123865,49102,"FaeroeIslands"
1011,2,827,182,15154,30,136206,2041610,66715,"CaymanIslands"
668,1,587,80,44020,66,42919,2828270,15175,"Anguilla"
445,7,438,0,40510,637,20508,1866909,10985,"WallisandFutuna"
41,1,31,9,8207,200,1408,281825,4996,"Montserrat"
4,1,3,0,13,3,23000,72702,316359,"Vanuatu"
